;;;;; TIỀN TRỌ THÁNG THÁNG 10/09 -10/10 ;;;;;;
 Tên phòng ; Tiền phòng ; Số điện trước ; Số điện sau ; Tiền điện ; Số nước trước ; Số nước sau ; Tiền nước ; Tiền rác  ; Tiền trọ tháng này ; Ghi chú/Nợ cũ  ; Tổng cộng 
 Phòng2 ; 1.000.000 ; 6.978 ; 6.865 ; 282.500 ; 871 ; 861 ; 60.000 ; 20.000 ; 1.362.500 ;; 1.362.500 
 Phòng 3 ; 1.000.000 ; 6.654 ; 6.594 ; 150.000 ;;; 30.000 ; 20.000 ; 1.200.000 ; 948.000 ; 2.148.000 
 Phòng 4 ; 1.000.000 ; 5.036 ; 4.933 ; 257.500 ; 695 ; 679 ; 96.000 ; 20.000 ; 1.373.500 ;; 1.373.500 
 Phòng 5 ; 1.000.000 ; 1.988 ; 1.950 ; 95.000 ;;; 30.000 ; 20.000 ; 1.145.000 ;; 1.145.000 
 Phòng 6 ; 1.000.000 ; 8.928 ; 8.706 ; 555.000 ; 942 ; 920 ; 132.000 ; 30.000 ; 1.717.000 ;; 1.717.000 
 Phòng 7 ; 1.000.000 ; 7.632 ; 7.539 ; 232.500 ; 854 ; 839 ; 90.000 ; 20.000 ; 1.342.500 ;; 1.342.500 
 Phòng 8 ; 1.050.000 ; 6.135 ; 5.918 ; 542.500 ; 1.284 ; 1.274 ; 60.000 ; 30.000 ; 1.682.500 ; 1.677.000 ; 3.359.500 
 Phòng 13 ; 1.000.000 ; 2.053 ; 2.024 ; 72.500 ;;; 30.000 ; 20.000 ; 1.122.500 ;; 1.122.500 
 Phòng 14 ; 1.000.000 ; 4.311 ; 4.283 ; 70.000 ;;; 30.000 ; 20.000 ; 1.120.000 ;; 1.120.000 
 Kiot 1  ; 1.600.000 ; 8.615 ; 8.460 ; 387.500 ;;; 80.000 ; 30.000 ; 2.097.500 ;; 2.097.500 
 Kiot 2 ; 1.600.000 ; 3.453 ; 3.283 ; 425.000 ;;; 80.000 ; 40.000 ; 2.145.000 ; 1.645.000 ; 3.790.000 
 Kiot 3 ; 1.600.000 ; 6.143 ; 5.986 ; 392.500 ;;; 80.000 ; 30.000 ; 2.102.500 ; 1.680.000 ; 3.782.500 
 Kiot 4 ; 1.600.000 ; 8.317 ; 8.167 ; 375.000 ;;; 80.000 ; 30.000 ; 2.085.000 ;; 2.085.000 
